name,slug,address,city,state,zip,phone,hours,rating,reviews,website,services,featured,,,,,
Azteca Towing LLC,201 Princeton Pkwy,Birmingham,AL,35211,1 205-785-4691,,4.8,,,,,,"[""6AM-10PM""]",,,33.5028334,-86.8472065
Weil Wrecker Blount County,4 Truckers Ln,Warrior,AL,35180,,https://www.campbells24hrtowing.com/,4.5,,,,,,"[""Open 24 hours""]",,,33.855076,-86.811477
Anytime Towing,17202 US-43,Russellville,AL,35654,1 256-460-9000,,4.6,,,,,,"[""Open 24 hours""]",,,34.538513,-87.7086828
Rocket Towing and Recovery,1317 Putman Dr NW,Huntsville,AL,35816,1 256-694-6700,http://rocket-tow.com/,4.9,,,,,,"[""Open 24 hours""]",,,34.7395934,-86.6295759
Weil Wrecker Service - Car Towing & Heavy Duty Semi Truck Recovery,3400 2nd Ave S,Birmingham,AL,35222,1 205-460-7540,https://weilwrecker.com/,4.4,,,,,,"[""Open 24 hours""]",,,33.5197659,-86.783519
Ideal Roadside LLC,515 N Maryland St,Montgomery,AL,36107,1 334-462-0071,https://www.idealroadsidelv.com/,4.4,,,,,,"[""Open 24 hours""]",,,32.3863083,-86.2782716
"Alabama Towing & Recovery, Inc",30 Plunkett Rd,Anniston,AL,36201,1 833-869-6333,https://www.facebook.com/alabamatowingandrecovery/,4.3,,,,,,"[""Open 24 hours""]",,,33.6393287,-85.8896747
Taylor's Towing & Wrecker/Tire & Auto Repair,18016 AL-21,Minter,AL,36761,1 334-412-8267,https://taylorstowingandwrecker.com/,4.9,,,,,,"[""Open 24 hours""]",,,32.0498264,-86.8106885
"Summit Towing, LLC",50 Fred Reynolds St,Leesburg,AL,35983,1 256-300-5409,,4.1,,,,,,"[""Open 24 hours""]",,,34.1763381,-85.7561187
C & A 24/7 Towing & Recovery,207 Bradley St,Abbeville,AL,36310,1 334-585-5434,,4.7,,,,,,"[""Open 24 hours""]",,,31.5700594,-85.2480308
South Calera Towing,1090 14th St,Calera,AL,35040,1 205-668-0298,https://southcaleratowing.com/,5,,,,,,"[""Open 24 hours""]",,,33.104639,-86.7559424
"Jacobs Towing, LLC",636 Howe St,Montgomery,AL,36104,1 334-265-2869,,3.6,,,,,,"[""Open 24 hours""]",,,32.3902768,-86.2992644
Jeff's Towing Inc,75 Skyland E Blvd,Tuscaloosa,AL,35405,1 205-361-3997,,4.9,,,,,,"[""Open 24 hours""]",,,33.1661873,-87.5366106
B&C Towing And Recovery LLC,1361 Spring Creek Rd,Montevallo,AL,35115,1 205-281-7132,https://bnctowing.com/,5,,,,,,"[""Open 24 hours""]",,,33.1037781,-86.8418381
Hometown Towing & Recovery LLC,54 Norman Dr,Woodstock,AL,35188,1 659-400-7093,,4.8,,,,,,"[""Open 24 hours""]",,,33.1963536,-87.1536344
"American Towing, LLC",1749 Ohio Ferro Rd,Montgomery,AL,36117,1 334-279-8850,https://americantowingal.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.3,,,,,,"[""Open 24 hours""]",,,32.3903778,-86.0759726
Smith's Towing LLC,156 10th St W,Alexander City,AL,35010,1 256-392-5553,http://smithstowingal.com/,4.9,,,,,,"[""Open 24 hours""]",,,32.9457893,-85.9712524
Dwaynes Towing and Recovery,5200 Jug Factory Rd,Tuscaloosa,AL,35405,1 205-759-5002,https://dwaynestowingandrecovery.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,3.5,,,,,,"[""Open 24 hours""]",,,33.1602377,-87.520551
Pitts & Sons Towing and Recovery,1850 Shelton Beach Rd,Saraland,AL,36571,1 251-675-2383,https://www.pittstowing.com/,4.7,,,,,,"[""Open 24 hours""]",,,30.7979054,-88.1069899
No Limits Towing & Roadside Services,11 School Rd,Shelby,AL,35143,1 205-917-0939,https://www.nolimitstowingal.com/,4.6,,,,,,"[""Open 24 hours""]",,,33.107268,-86.592674
"Midnight Sun Towing - Anchorage, Palmer, Wasilla, Eagle River",6240 Nielsen Way Storage Yard,Anchorage,AK,99518,1 907-646-0437,https://midnightsuntowing.com/,4.7,558,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",61.1638293,-149.8924934
Eagle Towing,1801 Lore Rd,Anchorage,AK,99507,1 907-351-0827,https://eagletowingak.com/,5,759,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",61.1519887,-149.8488822
"1st Class Towing & Recovery - Anchorage, JBER, Wasilla, Eagle River, Girdwood, Seward, Homer.",,Anchorage,AK,99501,1 907-229-3380,,4.9,197,"[""8AM-10PM""]","[""8AM-10PM""]","[""8AM-10PM""]","[""8AM-10PM""]","[""8AM-10PM""]","[""8AM-10PM""]","[""Closed""]",61.1870057,-149.8968902
24/7 Alaska Towing,2771 19th Ave,Fairbanks,AK,99709,1 907-888-2888,http://www.247alaskatowing.com/,2.6,128,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",64.8309095,-147.7866158
Elite Towing & Recovery,1625 Edlund Rd,Wasilla,AK,99654,1 907-715-0064,https://elitetowingak.com/%3Fy_source%3D1_MTIzNTQ4MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,4.8,236,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",61.5556893,-149.4877727
Vulcan Towing & Recovery,2134 E 88th Ave,Anchorage,AK,99507,1 907-349-8697,http://www.vulcantows.com/,4,443,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",61.1408891,-149.8435684
24/7 Towing,322 Concrete St,Anchorage,AK,99501,1 907-444-5555,https://midnightsuntowing.com/,2.9,146,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",61.2189626,-149.8501668
Alaska Towing & Wrecking,401 W Chipperfield Dr,Anchorage,AK,99501,1 907-272-2438,,5,8,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",61.2194012,-149.8311528
Ron's Service & Towing,101 Noble St,Fairbanks,AK,99701,1 907-456-4224,https://ronstowingalaska.com/,4.5,163,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",64.8445082,-147.7154541
South Central Towing,1700 E 82nd Ave,Anchorage,AK,99507,1 907-802-1818,,4.8,40,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Closed""]",61.1467337,-149.8506081
A.C.E Towing,4380 freight dock road,Homer,AK,99603,1 907-399-7545,https://www.acetowingak.com/,5,145,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",59.6225513,-151.4923359
Excel Towing & Recovery Corp,10004 Crazy Horse Dr,Juneau,AK,99801,1 907-723-0493,https://www.exceltowingak.com/,4.8,35,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",58.3662676,-134.6057757
Glenn Hwy Towing/Recovery in Wasilla and Palmer AK.,2785 S Old Glenn Hwy,Palmer,AK,99645,1 907-745-5656,https://glennhwytowing.com/,4.9,27,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",61.5522767,-149.0356938
Big Lake Towing,11273 Valois Dr,Wasilla,AK,99654,1 907-232-3471,http://biglaketowing.net/,4.6,36,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",61.561342,-149.733956
Patriot Towing and Recovery,2090 E Palmer-Wasilla Hwy Suite B,Wasilla,AK,99654,1 907-232-6670,https://ptralaska.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,5,389,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",61.5812294,-149.3966854
S & S Towing & Recovery,1199 Old Richardson Hwy,North Pole,AK,99705,1 907-378-1635,https://www.sstowingrecovery.net/,4.2,122,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",64.8098385,-147.5680863
HelpLine Towing,450 Adele Cir,Wasilla,AK,99654,1 907-232-3655,http://helplinetowing.com/,4.6,36,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",61.5800857,-149.393631
Zack's Towing,134.1 Denali Hwy,Cantwell,AK,99729,1 907-414-6428,http://zackstowing.net/,4.9,85,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",63.3886517,-148.889843
Flattop Towing LLC,2726 Markle Lp,Anchorage,AK,99507,1 907-476-8000,https://flattoptowing.com/,4.8,23,"[""7AM-10PM""]","[""7AM-10PM""]","[""7AM-10PM""]","[""7AM-10PM""]","[""7AM-10PM""]","[""7AM-10PM""]","[""7AM-10PM""]",61.1349199,-149.8306235
Matanuska Towing & Recovery - Palmer,1433 S Industrial Way,Palmer,AK,99645,1 907-745-5252,http://www.matanuskatowing.com/,4.7,36,"[""9AM-4:30PM""]","[""9AM-4:30PM""]","[""9AM-4:30PM""]","[""9AM-4:30PM""]","[""9AM-4:30PM""]","[""Closed""]","[""Closed""]",61.5908528,-149.1175834
Arizona Towing LLC,,,,,1 602-616-7112,https://arizonatowingllc.com/,5,152,"[""9AM-8PM""]","[""9AM-6PM""]","[""9AM-6PM""]","[""9AM-8PM""]","[""9AM-8PM""]","[""9AM-8PM""]","[""9AM-8PM""]",33.485838,-112.191608
"Arizona Towing & Recovery Services, LLC",22111 N White Rd,Maricopa,AZ,85139,1 602-446-8165,https://www.arizonatowingandrecoveryllcaz.com/,5,35,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.0798865,-112.1002744
